ID,Block,Selection,Treatement,Sex,Femur,LW,RW,Thorax,Tibia,Wings,,
CHfF1,1,CU,HD,Female,0.345,1.148,1.112,0.722,0.373,1.13,,
CHfF2,1,CU,HD,Female,0.371,1.166,1.102,0.707,0.343,1.134,,
CHfF3,1,CU,HD,Female,0.343,0.996,0.924,0.623,0.343,0.96,,
CHfF4,1,CU,HD,Female,0.363,1,0.982,0.629,0.347,0.991,,
CHfF5,1,CU,HD,Female,0.351,0.95,0.931,0.595,0.358,0.9405,,
CHfF6,1,CU,HD,Female,0.342,0.97,1.02,0.531,0.287,0.995,,
CHfF7,1,CU,HD,Female,0.268,0.954,0.909,0.545,0.273,0.9315,,
CHfF8,1,CU,HD,Female,0.309,1.107,1.066,0.607,0.322,1.0865,,
CHfF9,1,CU,HD,Female,0.283,1.075,1.03,0.558,0.334,1.0525,,
CHfF10,1,CU,HD,Female,0.363,1.087,1.099,0.636,0.354,1.093,,
CHfF11,1,CU,HD,Female,0.366,1.139,1.099,0.705,0.355,1.119,,
CHfF12,1,CU,HD,Female,0.329,1.115,1.059,0.645,0.345,1.087,,
CHfF13,1,CU,HD,Female,0.359,1.084,1.033,0.573,0.324,1.0585,,
CHfF14,1,CU,HD,Female,0.345,1.053,1.02,0.629,0.331,1.0365,,
CHfF15,1,CU,HD,Female,0.317,1.058,1.065,0.613,0.338,1.0615,,
CHmF1,1,CU,HD,Male,0.313,0.985,0.997,0.576,0.316,0.991,,
CHmF2,1,CU,HD,Male,0.374,0.886,0.889,0.456,0.317,0.8875,,
CHmF3,1,CU,HD,Male,0.395,1.099,1.102,0.623,0.374,1.1005,,
CHmF4,1,CU,HD,Male,0.326,1.009,1.019,0.529,0.297,1.014,,
CHmF5,1,CU,HD,Male,0.295,0.996,1.001,0.55,0.371,0.9985,,
CHmF6,1,CU,HD,Male,0.294,1.002,1.009,0.547,0.351,1.0055,,
CHmF7,1,CU,HD,Male,0.368,1.024,1.026,0.51,0.322,1.025,,
CHmF8,1,CU,HD,Male,0.309,0.933,0.959,0.523,0.27,0.946,,
CHmF9,1,CU,HD,Male,0.325,1,0.968,0.524,0.26,0.984,,
CHmF10,1,CU,HD,Male,0.328,0.872,0.879,0.508,0.335,0.8755,,
CHmF11,1,CU,HD,Male,0.39,0.963,0.99,0.59,0.322,0.9765,,
CHmF12,1,CU,HD,Male,0.385,0.884,0.858,0.479,0.296,0.871,,
CHmF13,1,CU,HD,Male,0.324,1.009,0.976,0.461,0.301,0.9925,,
CHmF14,1,CU,HD,Male,0.314,0.905,0.937,0.468,0.321,0.921,,
CHmF15,1,CU,HD,Male,0.351,0.978,1.017,0.531,0.321,0.9975,,
CIfF1,1,CU,ID,Female,0.43,1.239,1.199,0.705,0.38,1.219,,
CIfF2,1,CU,ID,Female,0.457,1.321,1.314,0.794,0.412,1.3175,,
CIfF3,1,CU,ID,Female,0.476,1.301,1.314,0.744,0.467,1.3075,,
CIfF4,1,CU,ID,Female,0.437,1.229,1.303,0.786,0.383,1.266,,
CIfF5,1,CU,ID,Female,0.399,1.182,1.217,0.752,0.393,1.1995,,
CIfF6,1,CU,ID,Female,0.451,1.205,1.213,0.705,0.364,1.209,,
CIfF7,1,CU,ID,Female,0.421,1.192,1.193,0.702,0.373,1.1925,,
CIfF8,1,CU,ID,Female,0.391,1.266,1.281,0.762,0.354,1.2735,,
CIfF9,1,CU,ID,Female,0.432,1.321,1.335,0.783,0.412,1.328,,
CIfF10,1,CU,ID,Female,0.402,1.275,1.257,0.723,0.414,1.266,,
CIfF11,1,CU,ID,Female,0.415,1.248,1.247,0.818,0.432,1.2475,,
CIfF12,1,CU,ID,Female,0.468,1.302,1.29,0.764,0.427,1.296,,
CIfF13,1,CU,ID,Female,0.425,1.205,1.214,0.731,0.409,1.2095,,
CIfF14,1,CU,ID,Female,0.389,1.208,1.234,0.744,0.384,1.221,,
CIfF15,1,CU,ID,Female,0.374,1.16,1.206,0.674,0.361,1.183,,
CImF1,1,CU,ID,Male,0.4,1.126,1.103,0.638,0.359,1.1145,,
CImF2,1,CU,ID,Male,0.433,1.16,1.174,0.683,0.368,1.167,,
CImF3,1,CU,ID,Male,0.383,1.104,1.118,0.645,0.403,1.111,,
CImF4,1,CU,ID,Male,0.408,1.108,1.099,0.65,0.425,1.1035,,
CImF5,1,CU,ID,Male,0.369,1.08,1.084,0.699,0.374,1.082,,
CImF6,1,CU,ID,Male,0.402,1.079,1.052,0.614,0.389,1.0655,,
CImF7,1,CU,ID,Male,0.417,1.112,1.139,0.71,0.391,1.1255,,
CImF8,1,CU,ID,Male,0.385,1.138,1.144,0.672,0.387,1.141,,
CImF9,1,CU,ID,Male,0.413,1.123,1.123,0.684,0.405,1.123,,
CImF10,1,CU,ID,Male,0.415,1.19,1.173,0.677,0.415,1.1815,,
CImF11,1,CU,ID,Male,0.429,1.199,1.194,0.699,0.392,1.1965,,
CImF12,1,CU,ID,Male,0.34,1.044,1.029,0.663,0.34,1.0365,,
CImF13,1,CU,ID,Male,0.355,1.125,1.146,0.64,0.382,1.1355,,
CImF14,1,CU,ID,Male,0.367,1.133,1.184,0.662,0.4,1.1585,,
CImF15,1,CU,ID,Male,0.387,1.16,1.138,0.698,0.383,1.149,,
CLfF1,1,CU,LD,Female,0.549,1.475,1.484,0.951,0.508,1.4795,,
CLfF2,1,CU,LD,Female,0.528,1.518,1.509,0.944,0.479,1.5135,,
